x y Theta xDot yDot Waypoint Trajectory
0.552874 0.567744 0.356702 0.145659 0.567744 1 A
1.61739 1.65287 0.933254 0.201663 0.601008 2 A
3.32084 3.0362 1.62503 0.237242 0.584201 3 A
5.58224 4.83339 2.44363 0.223127 0.66374 4 A
1.10575 1.13549 0.713403 0.145659 0.567744 1 B
4.41989 4.10864 2.30566 0.201663 0.601008 2 B
11.0194 9.08011 4.79998 0.237242 0.584201 3 B
21.7288 16.6457 8.34839 0.223127 0.66374 4 B
1.65862 1.70323 1.07011 0.145659 0.567744 1 C
8.4075 7.36733 4.11722 0.201663 0.601008 2 C
24.9469 19.1151 10.0208 0.237242 0.584201 3 C
56.9873 40.0453 19.9446 0.223127 0.66374 4 C
2.2115 2.27098 1.42681 0.145659 0.567744 1 D
13.5802 11.4289 6.36792 0.201663 0.601008 2 D
46.9545 34.1245 17.7835 0.237242 0.584201 3 D
122.446 80.7764 40.0031 0.223127 0.66374 4 D
2.76437 2.83872 1.78351 0.145659 0.567744 1 E
19.9381 16.2934 9.05778 0.201663 0.601008 2 E
78.8935 55.0916 28.5839 0.237242 0.584201 3 E
231.732 145.718 71.8357 0.223127 0.66374 4 E
